"","upi_bank","cvol_mn","cval_cr","vol_mn","val_cr","month"
"322","IndusInd Bank App",4.49,541.66,4.49,541.66,"Mar"
"323","IndusInd Bank App",2.16,379.54,2.16,379.54,"Feb"
"324","IndusInd Bank App",1.82,367.77,1.82,367.77,"Jan"
"325","Jio Payments Bank App",1.65,100.19,1.65,100.19,"Dec"
"326","Jio Payments Bank App",1.38,89.68,1.38,89.68,"Nov"
"327","Jio Payments Bank App",1.33,85.75,1.33,85.75,"Oct"
"328","Jio Payments Bank App",1.24,74.89,1.24,74.89,"Sep"
"329","Jio Payments Bank App",1.06,68.16,1.06,68.16,"Aug"
"330","Jio Payments Bank App",1.03,63.44,1.03,63.44,"Jul"
"331","Jio Payments Bank App",0.8,52.08,0.8,52.08,"Jun"
"332","Jio Payments Bank App",0.68,40.92,0.68,40.92,"May"
"333","Jio Payments Bank App",0.57,35.43,0.57,35.43,"Apr"
"334","Jio Payments Bank App",0.47,32.14,0.47,32.14,"Mar"
"335","Jio Payments Bank App",0.36,25.76,0.36,25.76,"Feb"
"336","Jio Payments Bank App",0.41,27.91,0.41,27.91,"Jan"
"337","Karnataka Bank App",0.25,30.03,0.25,30.03,"Dec"
"338","Karnataka Bank App",0.22,27.68,0.22,27.68,"Nov"
"339","Karnataka Bank App",0.2,25.71,0.2,25.71,"Oct"
"340","Karnataka Bank App",0.16,18.64,0.16,18.64,"Sep"
"341","Karnataka Bank App",0.12,15.38,0.12,15.38,"Aug"
"342","Karnataka Bank App",0.13,18.45,0.13,18.45,"Jul"
"343","Karnataka Bank App",0.12,22.51,0.12,22.51,"Jun"
"344","Karnataka Bank App",0.1,20.74,0.1,20.74,"May"
"345","Karnataka Bank App",0.12,21.13,0.12,21.13,"Apr"
"346","Karnataka Bank App",0.12,20.89,0.12,20.89,"Mar"
"347","Karnataka Bank App",0.09,16.41,0.09,16.41,"Feb"
"348","Karnataka Bank App",0.07,15.35,0.07,15.35,"Jan"
"349","Karur Vysya Bank App",0.04,17.44,0.04,17.44,"Dec"
"350","Karur Vysya Bank App",0.03,15.46,0.03,15.46,"Nov"
"351","Karur Vysya Bank App",0.03,15.4,0.03,15.4,"Oct"
"352","Karur Vysya Bank App",0.03,14.14,0.03,14.14,"Sep"
"353","Karur Vysya Bank App",0.03,15.25,0.03,15.25,"Aug"
"354","Karur Vysya Bank App",0.03,14.6,0.03,14.6,"Jul"
"355","Karur Vysya Bank App",0.03,12.59,0.03,12.59,"Jun"
"356","Karur Vysya Bank App",0.02,11.59,0.02,11.59,"May"
"357","Karur Vysya Bank App",0.03,13.08,0.03,13.08,"Apr"
"358","Karur Vysya Bank App",0.03,15.14,0.03,15.14,"Mar"
"359","Karur Vysya Bank App",0.03,13.87,0.03,13.87,"Feb"
"360","Karur Vysya Bank App",0.03,13.14,0.03,13.14,"Jan"
"361","Kotak Mahindra Bank Apps",6.39,1168.93,6.39,1168.93,"Dec"
"362","Kotak Mahindra Bank Apps",5.78,1035.67,5.78,1035.67,"Nov"
"363","Kotak Mahindra Bank Apps",5.38,944.5,5.38,944.5,"Oct"
"364","Kotak Mahindra Bank Apps",4.31,771.05,4.31,771.05,"Sep"
"365","Kotak Mahindra Bank Apps",3.98,723.21,3.98,723.21,"Aug"
"366","Kotak Mahindra Bank Apps",3.46,642.53,3.46,642.53,"Jul"
"367","Kotak Mahindra Bank Apps",2.8,535.98,2.8,535.98,"Jun"
"368","Kotak Mahindra Bank Apps",2.37,427.4,2.37,427.4,"May"
"369","Kotak Mahindra Bank Apps",2.13,381.37,2.13,381.37,"Apr"
"370","Kotak Mahindra Bank Apps",2.26,397.99,2.26,397.99,"Mar"
"371","Kotak Mahindra Bank Apps",1.95,347.66,1.95,347.66,"Feb"
"372","Kotak Mahindra Bank Apps",1.88,343.38,1.88,343.38,"Jan"
"373","MakeMy Trip",0.07,22.3,0.07,22.3,"Dec"
"374","MakeMy Trip",0.12,45.04,0.12,45.04,"Nov"
"375","MakeMy Trip",0.13,48.4,0.13,48.4,"Oct"
"376","MakeMy Trip",0.08,25.67,0.08,25.67,"Sep"
"377","MakeMy Trip",0.08,25.28,0.08,25.28,"Aug"
"378","MakeMy Trip",0.08,29.31,0.08,29.31,"Jul"
"379","MakeMy Trip",0.06,22.16,0.06,22.16,"Jun"
"380","MakeMy Trip",0.03,11.47,0.03,11.47,"May"
"381","MakeMy Trip",0.08,26.08,0.08,26.08,"Apr"
"382","MakeMy Trip",0.09,31.2,0.09,31.2,"Mar"
"383","MakeMy Trip",0.12,44.08,0.12,44.08,"Feb"
"384","MakeMy Trip",0.01,3.95,0.01,3.95,"Jan"
"385","MI Pay",0.31,43.97,0.31,43.97,"Dec"
"386","MI Pay",0.33,47.27,0.33,47.27,"Nov"
"387","MI Pay",0.37,54.77,0.37,54.77,"Oct"
"388","MI Pay",0.36,51.29,0.36,51.29,"Sep"
"389","MI Pay",0.34,50.26,0.34,50.26,"Aug"
"390","MI Pay",0.34,53.34,0.34,53.34,"Jul"
"391","MI Pay",0.36,56.69,0.36,56.69,"Jun"
"392","MI Pay",0.37,55.17,0.37,55.17,"May"
"393","MI Pay",0.38,58.08,0.38,58.08,"Apr"
"394","MI Pay",0.42,64.65,0.42,64.65,"Mar"
"395","MI Pay",0.4,59.91,0.4,59.91,"Feb"
"396","MI Pay",0.44,62.81,0.44,62.81,"Jan"
"397","Mobikwik",4.24,985.86,4.24,985.86,"Dec"
"398","Mobikwik",5.18,1478.95,5.18,1478.95,"Nov"
"399","Mobikwik",4.08,1070.32,4.08,1070.32,"Oct"
